Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-August-2024,268.55,270.70,268.30,269.86,269.625439624853458382,1706,172,459981.00,1157,67.82,2.40,1.31
8-August-2024,267.30,270.49,267.30,268.82,269.136125654450261780,3247,229,873885.00,3117,96.00,3.19,1.52
7-August-2024,269.00,270.00,268.45,268.96,269.103055555555555555,3600,213,968771.00,3407,94.64,1.55,-0.04
6-August-2024,270.80,270.80,267.79,268.43,269.092456040839478162,3526,275,948820.00,2079,58.96,3.01,-2.37
5-August-2024,272.99,272.99,266.00,268.99,268.718848862128788651,29397,1066,7899528.00,18147,61.73,6.99,-4.00
2-August-2024,271.00,272.00,268.51,271.35,269.478157159408437265,14673,515,3954053.00,8891,60.59,3.49,0.35
1-August-2024,266.51,270.24,266.51,269.82,269.690829214717188358,10926,410,2946642.00,8978,82.17,3.73,3.31
31-July-2024,271.50,271.50,266.61,268.61,268.654467491025129637,10028,431,2694067.00,7571,75.50,4.89,-2.89
30-July-2024,268.00,271.83,268.00,269.31,270.008406572411157814,5234,152,1413224.00,3431,65.55,3.83,1.31
29-July-2024,273.00,273.00,267.98,269.64,270.159178374368247785,21567,801,5826523.00,12765,59.19,5.02,-3.36
26-July-2024,271.30,271.30,267.22,270.06,270.203730892132308489,11579,421,3128689.00,11236,97.04,4.08,-1.24
25-July-2024,268.13,270.15,267.22,269.37,268.487859966120835686,3542,207,950984.00,2364,66.74,2.93,1.24
24-July-2024,267.00,269.49,265.24,267.48,267.740189607584303372,8333,304,2231079.00,5754,69.05,4.25,0.48
23-July-2024,263.70,264.50,260.33,263.48,263.470785070785070785,38850,683,10235840.00,28576,73.55,4.17,-0.22
22-July-2024,271.50,272.09,260.00,262.86,265.089185789268208042,69159,1196,18333303.00,62343,90.14,12.09,-8.64
19-July-2024,267.30,275.17,267.00,271.39,271.283958492812792379,23514,710,6378971.00,12511,53.21,8.17,4.09
18-July-2024,265.30,271.13,265.30,270.41,267.718463224215860840,14602,760,3909225.00,11854,81.18,5.83,5.11
16-July-2024,266.70,269.39,264.10,267.13,266.269389438943894389,29088,988,7745244.00,15767,54.20,5.29,0.43
15-July-2024,268.59,268.59,264.10,266.89,266.706366147664490205,15928,638,4248099.00,14490,90.97,4.49,-1.70
12-July-2024,265.90,269.50,265.90,266.30,267.600068131493783001,5871,200,1571080.00,4826,82.20,3.60,0.40
11-July-2024,268.99,268.99,265.50,266.38,267.438218390804597701,6264,228,1675233.00,4419,70.55,3.49,-2.61
10-July-2024,266.10,269.00,266.10,267.63,267.833692064858659779,13938,481,3733066.00,11819,84.80,2.90,1.53
9-July-2024,267.97,268.85,265.85,267.19,267.429149797570850202,2470,196,660550.00,2373,96.07,3.00,-0.78
8-July-2024,269.85,269.85,264.50,266.61,266.153298092392553435,8702,356,2316066.00,6478,74.44,5.35,-3.24
5-July-2024,271.00,271.00,265.30,267.63,267.147160465384172330,17362,677,4638209.00,9551,55.01,5.70,-3.37
4-July-2024,270.00,271.69,265.50,269.30,269.001869342778433687,10164,284,2734135.00,8577,84.39,6.19,-0.70
3-July-2024,268.79,270.82,264.52,269.18,268.046717367685860623,19329,809,5181075.00,11752,60.80,6.30,0.39
2-July-2024,265.06,267.48,265.06,266.24,266.417078651685393258,2225,175,592778.00,1360,61.12,2.42,1.18
1-July-2024,265.99,268.00,263.00,267.11,266.933061308816693352,19361,442,5168091.00,16277,84.07,5.00,1.12
28-June-2024,263.01,267.90,263.00,264.92,265.965450288390154759,17511,1223,4657321.00,10982,62.71,4.90,1.91
27-June-2024,264.80,266.43,262.25,263.18,264.453711201079622132,3705,277,979801.00,2280,61.54,4.18,-1.62
26-June-2024,269.00,269.40,263.00,263.50,266.479102740450745952,28353,665,7555482.00,24783,87.41,6.40,-5.50
25-June-2024,262.05,268.00,262.05,265.94,266.681302562096616467,10226,462,2727083.00,8667,84.75,5.95,3.89
24-June-2024,267.00,267.00,262.22,263.69,263.944729388348771338,26126,832,6895820.00,23829,91.21,4.78,-3.31
21-June-2024,265.66,269.60,265.66,267.18,267.016509755764770091,7329,182,1956964.00,6145,83.84,3.94,1.52
20-June-2024,269.35,269.40,266.00,267.34,267.448842670244884267,2981,235,797265.00,2341,78.53,3.40,-2.01
19-June-2024,269.89,271.28,265.36,268.19,267.852026684352202239,25633,934,6865851.00,16143,62.98,5.92,-1.70
18-June-2024,266.50,269.04,262.10,268.41,267.743064787733758752,11283,535,3020945.00,8528,75.58,6.94,1.91
14-June-2024,266.89,268.00,265.05,265.76,266.329748089442400226,3533,161,940943.00,2545,72.04,2.95,-1.13
13-June-2024,257.01,269.85,257.01,266.89,267.651007147498375568,15390,508,4119149.00,6969,45.28,12.84,9.88
