Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MINDSPACE,RR,30-Sep-2021,298.30,298.28,307.29,298.00,306.81,306.79,301.45,"1,49,317","4,50,10,904.99","5,372","1,36,918",91.70
MINDSPACE,RR,01-Oct-2021,306.79,304.95,313.45,298.00,308.79,308.35,308.31,"1,17,942","3,63,62,550.40","1,299","97,318",82.51
MINDSPACE,RR,04-Oct-2021,308.35,309.85,312.00,305.73,310.90,310.72,310.19,"1,85,494","5,75,38,514.29",991,"1,71,919",92.68
MINDSPACE,RR,05-Oct-2021,310.72,311.99,313.90,307.00,310.80,310.23,310.86,"78,810","2,44,98,728.14","4,627","59,450",75.43
MINDSPACE,RR,06-Oct-2021,310.23,312.95,313.00,308.20,308.70,309.92,309.90,"1,52,028","4,71,12,720.85",695,"1,47,337",96.91
MINDSPACE,RR,07-Oct-2021,309.92,309.15,313.49,303.85,305.80,305.78,308.76,"1,08,834","3,36,03,529.96","1,690","95,772",88.00
MINDSPACE,RR,08-Oct-2021,305.78,308.18,308.18,305.20,305.99,305.95,307.03,"2,32,506","7,13,87,264.53",637,"2,23,449",96.10
MINDSPACE,RR,11-Oct-2021,305.95,305.50,310.50,303.05,307.40,308.61,307.88,"1,13,365","3,49,02,921.28","2,146","84,447",74.49
MINDSPACE,RR,12-Oct-2021,308.61,310.00,315.05,305.00,312.00,311.78,311.16,"4,10,542","12,77,45,998.88","6,820","3,67,276",89.46
MINDSPACE,RR,13-Oct-2021,311.78,313.80,321.60,303.00,319.50,320.04,318.82,"3,45,421","11,01,26,046.97","2,783","2,91,876",84.50
MINDSPACE,RR,14-Oct-2021,320.04,321.90,327.00,319.00,323.40,323.45,323.53,"6,74,174","21,81,14,585.58","3,994","6,30,506",93.52
MINDSPACE,RR,18-Oct-2021,323.45,326.90,333.00,323.45,329.02,330.91,331.16,"5,47,278","18,12,36,830.56","4,790","4,86,960",88.98
