Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-January-2025,370.01,374.00,370.01,371.36,371.699899899899899899,4995,291,1856641.00,3517,70.41,3.99,1.35
8-January-2025,370.55,373.49,370.06,370.81,371.620778867102396514,7344,472,2729183.00,5244,71.41,3.43,0.26
7-January-2025,370.00,374.00,367.01,370.50,371.294395614781211605,10581,661,3928666.00,5044,47.67,6.99,0.50
6-January-2025,373.98,374.10,366.55,369.89,370.311196325481437781,23731,781,8787855.00,15251,64.27,7.55,-4.09
3-January-2025,372.70,377.07,370.00,370.91,373.276595744680851063,5076,327,1894752.00,3214,63.32,7.07,-1.79
2-January-2025,371.12,372.54,369.00,370.21,371.112794612794612794,1782,173,661323.00,1278,71.72,3.54,-0.91
1-January-2025,370.89,374.10,368.28,370.92,371.203649328859060402,4768,460,1769899.00,3548,74.41,5.82,0.03
31-December-2024,371.00,371.00,363.01,369.59,365.833462192670480903,6467,444,2365845.00,4769,73.74,7.99,-1.41
30-December-2024,377.00,377.00,366.00,368.49,368.562176824616427905,11797,926,4347928.00,8057,68.30,11.00,-8.51
27-December-2024,375.60,376.50,371.39,375.12,373.736677115987460815,1276,161,476888.00,925,72.49,5.11,-0.48
26-December-2024,375.80,375.80,368.11,373.87,370.952847805788982259,4284,284,1589162.00,2557,59.69,7.69,-1.93
24-December-2024,365.34,374.86,364.01,372.71,370.041056248869596672,5529,617,2045957.00,4226,76.43,10.85,7.37
23-December-2024,362.80,367.86,360.00,365.27,365.442321056289089645,11512,988,4206972.00,8146,70.76,7.86,2.47
20-December-2024,377.89,377.89,350.30,356.53,360.871475321647913211,22307,1404,8049960.00,13818,61.94,27.59,-21.36
19-December-2024,375.70,378.00,372.30,376.03,374.149611011370436864,5013,287,1875612.00,3477,69.36,5.70,0.33
18-December-2024,374.00,377.50,370.00,375.92,375.035788381742738589,3856,270,1446138.00,2789,72.33,7.50,1.92
17-December-2024,377.40,377.40,371.05,371.96,372.595392368610511159,5556,661,2070140.00,3868,69.62,6.35,-5.44
16-December-2024,374.67,377.29,374.67,375.70,376.022983870967741935,2480,214,932537.00,1607,64.80,2.62,1.03
13-December-2024,377.90,377.90,364.00,374.19,373.801428020069471246,5182,265,1937039.00,2374,45.81,13.90,-3.71
12-December-2024,371.78,374.23,370.75,371.97,372.264954486345903771,3076,315,1145087.00,1007,32.74,3.48,0.19
11-December-2024,372.00,376.79,371.00,371.78,373.556319485078993563,6836,681,2553631.00,4943,72.31,5.79,-0.22
10-December-2024,370.00,379.69,366.25,377.35,371.576460387991763303,9227,556,3428536.00,7563,81.97,13.44,7.35
9-December-2024,370.60,371.00,366.51,368.30,367.939391551071878940,12688,743,4668415.00,10481,82.61,4.49,-2.30
6-December-2024,375.77,378.74,370.00,371.54,373.438963471745238838,12812,763,4784500.00,9467,73.89,8.74,-4.23
5-December-2024,367.00,377.95,366.56,374.28,371.465762650981096493,22271,936,8272914.00,17049,76.55,11.39,7.28
4-December-2024,368.99,368.99,363.10,365.02,365.224501455106545049,409592,960,149593034.00,406659,99.28,5.89,-3.97
3-December-2024,370.00,371.00,366.07,368.16,368.413721640488656195,9168,1161,3377617.00,6848,74.69,4.93,-1.84
2-December-2024,371.55,373.22,366.16,369.86,369.297579171741778319,13136,849,4851093.00,8929,67.97,7.06,-1.69
29-November-2024,374.55,375.89,369.00,371.72,372.205907718844329452,4638,340,1726291.00,2950,63.60,6.89,-2.83
28-November-2024,376.00,376.00,369.39,372.07,371.923258003766478342,25488,934,9479580.00,19343,75.89,6.61,-3.93
27-November-2024,366.51,375.00,366.51,374.22,370.546230832797722890,10891,611,4035619.00,6492,59.61,8.49,7.71
26-November-2024,371.20,371.20,366.75,370.22,369.604237170274906123,21571,733,7972733.00,20274,93.99,4.45,-0.98
25-November-2024,372.50,375.44,365.40,368.70,368.304614300782136764,2515289,998,926392545.00,2511597,99.85,10.04,-3.80
22-November-2024,368.99,371.21,365.61,368.45,368.163464288305823398,937116,709,345011873.00,933405,99.60,5.60,-0.54
